date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:56	138/138	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Oct%202024%2003:47:55%20GMT	https://24x7-experts-customers-cash.squareservices.online/robots.txt		(from )
20:47:56	35070/35070	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2003:47:56%20GMT	https://24x7-experts-customers-cash.squareservices.online/help-servicee/	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/help-servicee/index.html	(from )
20:47:56	102217/102217	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae55-18f49%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=6.4.2	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min1e39.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:57	10927/10927	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae55-2aaf%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:57	180063/180063	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae55-2bf5f%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.6.0	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/themes/oceanwp/assets/css/style.minaf6c.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:57	60705/60705	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae10-ed21%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.5	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/frontend.minf9f0.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:57	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae10-4057%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:58	10260/10260	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae10-2814%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.5	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.minf9f0.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:58	1107/1107	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae9c-453%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/uploads/elementor/css/post-5.css?ver=1727966876	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/uploads/elementor/css/post-56cfb.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:58	10401/10401	---MCZ	200	added ('OK')	text/css	etag:W/%2266feb03a-28a1%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/uploads/elementor/css/global.css?ver=1727967290	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/uploads/elementor/css/globalecb2.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:59	704/704	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae10-2c0%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.24.5	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/widget-text-editor.minf9f0.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:59	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae10-258%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.24.5	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/widget-heading.minf9f0.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:59	1364/1364	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae10-554%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.24.5	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/elementor/assets/css/widget-spacer.minf9f0.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:47:59	972/972	---MCZ	200	added ('OK')	text/css	etag:W/%2266feb03a-3cc%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/uploads/elementor/css/post-6.css?ver=1727967290	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/uploads/elementor/css/post-6ecb2.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:48:00	53130/53130	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae5c-cf8a%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=6.6.2	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/ocean-extra/assets/css/widgets109c.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:48:00	4403/4403	---MCZ	200	added ('OK')	text/css	etag:W/%2266feae2a-1133%22	https://24x7-experts-customers-cash.squareservices.online/wp-content/plugins/call-now-button/resources/style/modern.css?ver=1.4.11	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-content/plugins/call-now-button/resources/style/modernf915.css	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:48:00	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://24x7-experts-customers-cash.squareservices.online/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-includes/js/jquery/jquery.minf43b.js	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
20:48:00	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://24x7-experts-customers-cash.squareservices.online/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/ak/Desktop/test/website%201/24x7-experts-customers-cash.squareservices.online/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://24x7-experts-customers-cash.squareservices.online/help-servicee/)
